hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility,rate_non_facility_adj,rate_facility_adj,locality_name,work_gpci,pe_gpci,mp_gpci
27202,,A,7.13,6.24,6.24,1.5,14.87,14.87,33.4009,496.67,496.67,473.32,473.32,SOUTH CAROLINA,1.0,0.924,0.85
27220,,A,5.36,7.0,5.19,1.14,13.5,11.69,33.4009,450.91,390.46,427.43,371.57,SOUTH CAROLINA,1.0,0.924,0.85
27222,,A,13.76,10.68,10.68,2.97,27.41,27.41,33.4009,915.52,915.52,873.53,873.53,SOUTH CAROLINA,1.0,0.924,0.85
27226,,A,15.18,10.54,10.54,3.24,28.96,28.96,33.4009,967.29,967.29,924.3,924.3,SOUTH CAROLINA,1.0,0.924,0.85
27227,,A,24.77,14.56,14.56,5.26,44.59,44.59,33.4009,1489.35,1489.35,1426.03,1426.03,SOUTH CAROLINA,1.0,0.924,0.85
27228,,A,28.6,15.76,15.76,6.11,50.47,50.47,33.4009,1685.74,1685.74,1615.13,1615.13,SOUTH CAROLINA,1.0,0.924,0.85
27230,,A,5.66,9.18,7.28,1.22,16.06,14.16,33.4009,536.42,472.96,507.0,448.36,SOUTH CAROLINA,1.0,0.924,0.85
27232,,A,11.43,6.92,6.92,2.51,20.86,20.86,33.4009,696.74,696.74,666.6,666.6,SOUTH CAROLINA,1.0,0.924,0.85
27235,,A,12.68,9.72,9.72,2.64,25.04,25.04,33.4009,836.36,836.36,798.46,798.46,SOUTH CAROLINA,1.0,0.924,0.85
27236,,A,17.17,11.85,11.85,3.61,32.63,32.63,33.4009,1089.87,1089.87,1041.7,1041.7,SOUTH CAROLINA,1.0,0.924,0.85
27238,,A,5.61,6.88,6.88,1.21,13.7,13.7,33.4009,457.59,457.59,434.07,434.07,SOUTH CAROLINA,1.0,0.924,0.85
27240,,A,13.46,10.5,10.5,2.93,26.89,26.89,33.4009,898.15,898.15,856.82,856.82,SOUTH CAROLINA,1.0,0.924,0.85
27244,,A,17.73,12.09,12.09,3.75,33.57,33.57,33.4009,1121.27,1121.27,1071.79,1071.79,SOUTH CAROLINA,1.0,0.924,0.85
27245,,A,17.73,12.04,12.04,3.71,33.48,33.48,33.4009,1118.26,1118.26,1069.11,1069.11,SOUTH CAROLINA,1.0,0.924,0.85
27246,,A,4.71,7.09,5.58,1.01,12.81,11.3,33.4009,427.87,377.43,404.81,358.21,SOUTH CAROLINA,1.0,0.924,0.85
27248,,A,10.51,7.81,7.81,2.21,20.53,20.53,33.4009,685.72,685.72,654.82,654.82,SOUTH CAROLINA,1.0,0.924,0.85
27250,,A,3.72,0.61,0.61,0.9,5.23,5.23,33.4009,174.69,174.69,168.63,168.63,SOUTH CAROLINA,1.0,0.924,0.85
27252,,A,10.75,8.4,8.4,2.36,21.51,21.51,33.4009,718.45,718.45,685.31,685.31,SOUTH CAROLINA,1.0,0.924,0.85
27253,,A,13.24,9.97,9.97,2.83,26.04,26.04,33.4009,869.76,869.76,830.27,830.27,SOUTH CAROLINA,1.0,0.924,0.85
27254,,A,18.47,12.24,12.24,3.93,34.64,34.64,33.4009,1157.01,1157.01,1106.25,1106.25,SOUTH CAROLINA,1.0,0.924,0.85
27256,,A,4.17,6.87,2.62,1.05,12.09,7.84,33.4009,403.82,261.86,381.12,249.95,SOUTH CAROLINA,1.0,0.924,0.85
27257,,A,5.25,3.5,3.5,1.12,9.87,9.87,33.4009,329.67,329.67,315.17,315.17,SOUTH CAROLINA,1.0,0.924,0.85
27258,,A,15.78,11.38,11.38,3.35,30.51,30.51,33.4009,1019.06,1019.06,973.39,973.39,SOUTH CAROLINA,1.0,0.924,0.85
27259,,A,22.68,14.42,14.42,4.83,41.93,41.93,33.4009,1400.5,1400.5,1339.7,1339.7,SOUTH CAROLINA,1.0,0.924,0.85
27265,,A,5.11,8.43,8.43,1.23,14.77,14.77,33.4009,493.33,493.33,465.77,465.77,SOUTH CAROLINA,1.0,0.924,0.85
27266,,A,7.59,7.49,7.49,1.62,16.7,16.7,33.4009,557.8,557.8,530.67,530.67,SOUTH CAROLINA,1.0,0.924,0.85
27267,,A,5.36,6.43,6.43,1.12,12.91,12.91,33.4009,431.21,431.21,409.27,409.27,SOUTH CAROLINA,1.0,0.924,0.85
27268,,A,6.94,7.05,7.05,1.47,15.46,15.46,33.4009,516.38,516.38,491.12,491.12,SOUTH CAROLINA,1.0,0.924,0.85
27269,,A,18.42,11.26,11.26,3.89,33.57,33.57,33.4009,1121.27,1121.27,1073.2,1073.2,SOUTH CAROLINA,1.0,0.924,0.85
27275,,A,2.26,2.63,2.63,0.46,5.35,5.35,33.4009,178.69,178.69,169.71,169.71,SOUTH CAROLINA,1.0,0.924,0.85
27278,,A,7.66,403.3,4.64,0.85,411.81,13.15,33.4009,13754.82,439.22,12726.8,423.18,SOUTH CAROLINA,1.0,0.924,0.85
27279,,A,11.83,8.26,8.26,2.62,22.71,22.71,33.4009,758.53,758.53,724.44,724.44,SOUTH CAROLINA,1.0,0.924,0.85
27280,,A,19.5,12.89,12.89,6.04,38.43,38.43,33.4009,1283.6,1283.6,1220.61,1220.61,SOUTH CAROLINA,1.0,0.924,0.85
27282,,A,11.55,10.03,10.03,2.47,24.05,24.05,33.4009,803.29,803.29,765.46,765.46,SOUTH CAROLINA,1.0,0.924,0.85
27284,,A,24.43,13.38,13.38,5.19,43.0,43.0,33.4009,1436.24,1436.24,1376.27,1376.27,SOUTH CAROLINA,1.0,0.924,0.85
27286,,A,24.54,14.57,14.57,5.22,44.33,44.33,33.4009,1480.66,1480.66,1417.52,1417.52,SOUTH CAROLINA,1.0,0.924,0.85
27290,,A,23.94,14.88,14.88,5.09,43.91,43.91,33.4009,1466.63,1466.63,1403.36,1403.36,SOUTH CAROLINA,1.0,0.924,0.85
27295,,A,19.17,10.93,10.93,4.24,34.34,34.34,33.4009,1146.99,1146.99,1098.0,1098.0,SOUTH CAROLINA,1.0,0.924,0.85
27301,,A,6.61,13.51,6.47,1.44,21.56,14.52,33.4009,720.12,484.98,678.61,461.34,SOUTH CAROLINA,1.0,0.924,0.85
27303,,A,8.41,7.93,7.93,1.74,18.08,18.08,33.4009,603.89,603.89,575.04,575.04,SOUTH CAROLINA,1.0,0.924,0.85
27305,,A,6.03,6.62,6.62,1.25,13.9,13.9,33.4009,464.27,464.27,441.21,441.21,SOUTH CAROLINA,1.0,0.924,0.85
27306,,A,4.62,4.64,4.64,0.47,9.73,9.73,33.4009,324.99,324.99,310.86,310.86,SOUTH CAROLINA,1.0,0.924,0.85
27307,,A,5.91,4.78,4.78,0.57,11.26,11.26,33.4009,376.09,376.09,361.1,361.1,SOUTH CAROLINA,1.0,0.924,0.85
27310,,A,9.75,8.83,8.83,2.05,20.63,20.63,33.4009,689.06,689.06,656.38,656.38,SOUTH CAROLINA,1.0,0.924,0.85
27323,,A,2.27,5.66,2.15,0.3,8.23,4.72,33.4009,274.89,157.65,259.02,150.69,SOUTH CAROLINA,1.0,0.924,0.85
27324,,A,4.91,6.01,6.01,1.13,12.05,12.05,33.4009,402.48,402.48,381.56,381.56,SOUTH CAROLINA,1.0,0.924,0.85
27325,,A,7.02,7.68,7.68,1.48,16.18,16.18,33.4009,540.43,540.43,513.52,513.52,SOUTH CAROLINA,1.0,0.924,0.85
27326,,A,6.31,7.46,7.46,1.33,15.1,15.1,33.4009,504.35,504.35,478.75,478.75,SOUTH CAROLINA,1.0,0.924,0.85
27327,,A,3.86,11.42,4.52,0.87,16.15,9.25,33.4009,539.42,308.96,506.08,293.13,SOUTH CAROLINA,1.0,0.924,0.85
27328,,A,8.63,7.08,7.08,1.96,17.67,17.67,33.4009,590.19,590.19,562.4,562.4,SOUTH CAROLINA,1.0,0.924,0.85
27329,,A,15.33,10.11,10.11,3.48,28.92,28.92,33.4009,965.95,965.95,922.85,922.85,SOUTH CAROLINA,1.0,0.924,0.85
27330,,A,4.98,6.31,6.31,1.07,12.36,12.36,33.4009,412.84,412.84,391.46,391.46,SOUTH CAROLINA,1.0,0.924,0.85
27331,,A,5.87,6.66,6.66,1.23,13.76,13.76,33.4009,459.6,459.6,436.53,436.53,SOUTH CAROLINA,1.0,0.924,0.85
27332,,A,8.25,8.41,8.41,1.75,18.41,18.41,33.4009,614.91,614.91,584.79,584.79,SOUTH CAROLINA,1.0,0.924,0.85
27333,,A,7.36,7.98,7.98,1.56,16.9,16.9,33.4009,564.48,564.48,536.4,536.4,SOUTH CAROLINA,1.0,0.924,0.85
27334,,A,8.96,8.6,8.6,1.9,19.46,19.46,33.4009,649.98,649.98,618.63,618.63,SOUTH CAROLINA,1.0,0.924,0.85
27335,,A,10.29,9.05,9.05,2.19,21.53,21.53,33.4009,719.12,719.12,685.18,685.18,SOUTH CAROLINA,1.0,0.924,0.85
27337,,A,5.76,5.07,5.07,1.39,12.22,12.22,33.4009,408.16,408.16,388.32,388.32,SOUTH CAROLINA,1.0,0.924,0.85
27339,,A,10.85,8.02,8.02,2.52,21.39,21.39,33.4009,714.45,714.45,681.46,681.46,SOUTH CAROLINA,1.0,0.924,0.85
27340,,A,4.21,5.98,5.98,0.88,11.07,11.07,33.4009,369.75,369.75,350.16,350.16,SOUTH CAROLINA,1.0,0.924,0.85
27345,,A,5.94,6.82,6.82,1.26,14.02,14.02,33.4009,468.28,468.28,444.66,444.66,SOUTH CAROLINA,1.0,0.924,0.85
27347,,A,6.56,7.31,7.31,1.34,15.21,15.21,33.4009,508.03,508.03,482.76,482.76,SOUTH CAROLINA,1.0,0.924,0.85
27350,,A,8.44,8.37,8.37,1.76,18.57,18.57,33.4009,620.25,620.25,590.19,590.19,SOUTH CAROLINA,1.0,0.924,0.85
27355,,A,7.8,7.85,7.85,1.64,17.29,17.29,33.4009,577.5,577.5,549.36,549.36,SOUTH CAROLINA,1.0,0.924,0.85
27356,,A,9.84,8.93,8.93,2.09,20.86,20.86,33.4009,696.74,696.74,663.6,663.6,SOUTH CAROLINA,1.0,0.924,0.85
27357,,A,10.88,9.76,9.76,2.31,22.95,22.95,33.4009,766.55,766.55,730.2,730.2,SOUTH CAROLINA,1.0,0.924,0.85
27358,,A,4.61,1.47,1.47,1.0,7.08,7.08,33.4009,236.48,236.48,227.74,227.74,SOUTH CAROLINA,1.0,0.924,0.85
27360,,A,11.17,12.1,12.1,2.38,25.65,25.65,33.4009,856.73,856.73,814.09,814.09,SOUTH CAROLINA,1.0,0.924,0.85
27364,,A,23.88,13.61,13.61,5.34,42.83,42.83,33.4009,1430.56,1430.56,1369.26,1369.26,SOUTH CAROLINA,1.0,0.924,0.85
27365,,A,31.4,16.89,16.89,6.71,55.0,55.0,33.4009,1837.05,1837.05,1760.56,1760.56,SOUTH CAROLINA,1.0,0.924,0.85
27369,,A,0.75,4.61,0.19,0.08,5.44,1.02,33.4009,181.7,34.07,169.6,33.19,SOUTH CAROLINA,1.0,0.924,0.85
27372,,A,5.08,12.98,5.57,1.07,19.13,11.72,33.4009,638.96,391.46,600.65,371.96,SOUTH CAROLINA,1.0,0.924,0.85
27380,,A,7.26,9.14,9.14,1.5,17.9,17.9,33.4009,597.88,597.88,567.16,567.16,SOUTH CAROLINA,1.0,0.924,0.85
27381,,A,10.49,10.53,10.53,2.19,23.21,23.21,33.4009,775.23,775.23,737.53,737.53,SOUTH CAROLINA,1.0,0.924,0.85
27385,,A,6.76,9.49,9.49,1.37,17.62,17.62,33.4009,588.52,588.52,557.57,557.57,SOUTH CAROLINA,1.0,0.924,0.85
