hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
23400,,A,13.52,10.5,10.5,2.89,26.91,26.91,33.4009,898.82,898.82
23405,,A,8.33,7.31,7.31,1.56,17.2,17.2,33.4009,574.5,574.5
23406,,A,10.73,7.97,7.97,1.48,20.18,20.18,33.4009,674.03,674.03
23410,,A,11.11,9.49,9.49,2.3,22.9,22.9,33.4009,764.88,764.88
23412,,A,11.63,9.66,9.66,2.41,23.7,23.7,33.4009,791.6,791.6
23415,,A,9.0,8.86,8.86,1.85,19.71,19.71,33.4009,658.33,658.33
23420,,A,13.2,11.17,11.17,2.77,27.14,27.14,33.4009,906.5,906.5
23430,,A,9.92,8.94,8.94,1.99,20.85,20.85,33.4009,696.41,696.41
23440,,A,10.37,8.46,8.46,2.17,21.0,21.0,33.4009,701.42,701.42
23450,,A,13.36,9.89,9.89,2.85,26.1,26.1,33.4009,871.76,871.76
23455,,A,14.3,9.33,9.33,2.73,26.36,26.36,33.4009,880.45,880.45
23460,,A,15.42,11.26,11.26,3.28,29.96,29.96,33.4009,1000.69,1000.69
23462,,A,15.33,10.67,10.67,3.26,29.26,29.26,33.4009,977.31,977.31
23465,,A,15.89,11.41,11.41,3.38,30.68,30.68,33.4009,1024.74,1024.74
23466,,A,15.41,12.43,12.43,3.14,30.98,30.98,33.4009,1034.76,1034.76
23470,,A,17.44,11.57,11.57,3.56,32.57,32.57,33.4009,1087.87,1087.87
23472,,A,21.58,12.99,12.99,4.36,38.93,38.93,33.4009,1300.3,1300.3
23473,,A,24.38,13.85,13.85,4.89,43.12,43.12,33.4009,1440.25,1440.25
23474,,A,26.53,14.56,14.56,5.38,46.47,46.47,33.4009,1552.14,1552.14
23480,,A,11.25,9.22,9.22,2.4,22.87,22.87,33.4009,763.88,763.88
23485,,A,13.56,9.77,9.77,2.76,26.09,26.09,33.4009,871.43,871.43
23490,,A,11.86,9.58,9.58,2.53,23.97,23.97,33.4009,800.62,800.62
23491,,A,14.18,10.87,10.87,3.02,28.07,28.07,33.4009,937.56,937.56
23500,,A,2.15,5.13,4.74,0.45,7.73,7.34,33.4009,258.19,245.16
23505,,A,3.73,7.7,5.8,0.81,12.24,10.34,33.4009,408.83,345.37
23515,,A,9.45,8.94,8.94,1.94,20.33,20.33,33.4009,679.04,679.04
23520,,A,2.23,5.4,4.68,0.47,8.1,7.38,33.4009,270.55,246.5
